mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,12,50000000,50000000,16,256,124586.982613,8026.520741
true,12,50000000,50000000,16,256,126929.649788,7878.379887
false,16,50000000,50000000,16,256,123342.526305,8107.503794
true,16,50000000,50000000,16,256,150498.151818,6644.599870
false,1,50000000,50000000,16,256,19020.243523,52575.562390
true,1,50000000,50000000,16,256,20134.684935,49665.539999
false,20,50000000,50000000,16,256,127307.818607,7854.977101
true,20,50000000,50000000,16,256,159962.865895,6251.450888
false,24,50000000,50000000,16,256,127828.019921,7823.010953
true,24,50000000,50000000,16,256,196335.053936,5093.333971
false,4,50000000,50000000,16,256,58506.849725,17092.015801
true,4,50000000,50000000,16,256,43887.761965,22785.395181
false,8,50000000,50000000,16,256,158622.655238,6304.269705
true,8,50000000,50000000,16,256,93918.603626,10647.517759
