mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,1,10000000,10000000,16,256,9607.510394,104085.237376
true,1,10000000,10000000,16,256,9548.443078,104729.115710
false,10,10000000,10000000,16,256,59999.086265,16666.920486
true,10,10000000,10000000,16,256,56932.477156,17564.666952
false,12,10000000,10000000,16,256,70136.270178,14257.958079
true,12,10000000,10000000,16,256,71282.879477,14028.613986
false,14,10000000,10000000,16,256,88506.870311,11298.557914
true,14,10000000,10000000,16,256,82226.099286,12161.588701
false,16,10000000,10000000,16,256,100860.084754,9914.724962
true,16,10000000,10000000,16,256,87321.906245,11451.880095
false,18,10000000,10000000,16,256,118923.837582,8408.743111
true,18,10000000,10000000,16,256,91115.274664,10975.108221
false,2,10000000,10000000,16,256,18894.595676,52925.186500
true,2,10000000,10000000,16,256,18816.512411,53144.811225
false,20,10000000,10000000,16,256,132999.968347,7518.798782
true,20,10000000,10000000,16,256,92502.738948,10810.490709
false,22,10000000,10000000,16,256,140038.397608,7140.898618
true,22,10000000,10000000,16,256,106499.886722,9389.681349
false,24,10000000,10000000,16,256,150555.162236,6642.083773
true,24,10000000,10000000,16,256,112279.078036,8906.378797
false,4,10000000,10000000,16,256,34332.810625,29126.657031
true,4,10000000,10000000,16,256,29057.775882,34414.196188
false,6,10000000,10000000,16,256,41116.709887,24321.012132
true,6,10000000,10000000,16,256,37467.011464,26690.145835
false,8,10000000,10000000,16,256,50262.136465,19895.692271
true,8,10000000,10000000,16,256,50193.161922,19923.032575
