mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,1,10000000,10000000,16,256,9640.837867,103725.424473
true,1,10000000,10000000,16,256,9729.892604,102776.057327
false,10,10000000,10000000,16,256,61327.950057,16305.778998
true,10,10000000,10000000,16,256,60837.141136,16437.327286
false,100,10000000,10000000,16,256,433070.215716,2309.094377
true,100,10000000,10000000,16,256,262480.469275,3809.807270
false,102,10000000,10000000,16,256,450712.976182,2218.706922
true,102,10000000,10000000,16,256,264479.221024,3781.015371
false,104,10000000,10000000,16,256,452718.042138,2208.880378
true,104,10000000,10000000,16,256,270976.539172,3690.356379
false,106,10000000,10000000,16,256,457885.531630,2183.951951
true,106,10000000,10000000,16,256,237220.077899,4215.494780
false,108,10000000,10000000,16,256,461087.679219,2168.784908
true,108,10000000,10000000,16,256,264953.088705,3774.253038
false,110,10000000,10000000,16,256,439855.910864,2273.471779
true,110,10000000,10000000,16,256,282075.945746,3545.144544
false,112,10000000,10000000,16,256,445454.896553,2244.896190
true,112,10000000,10000000,16,256,276269.766464,3619.650506
false,114,10000000,10000000,16,256,466667.390094,2142.853821
true,114,10000000,10000000,16,256,267764.840238,3734.620270
false,116,10000000,10000000,16,256,439562.074171,2274.991540
true,116,10000000,10000000,16,256,269505.038879,3710.505763
false,118,10000000,10000000,16,256,461995.419196,2164.523626
true,118,10000000,10000000,16,256,258771.738000,3864.409644
false,12,10000000,10000000,16,256,72613.114297,13771.617010
true,12,10000000,10000000,16,256,69775.271042,14331.725052
false,120,10000000,10000000,16,256,466049.993063,2145.692554
true,120,10000000,10000000,16,256,263244.116655,3798.755363
false,122,10000000,10000000,16,256,501803.328917,1992.812607
true,122,10000000,10000000,16,256,260703.595482,3835.773719
false,124,10000000,10000000,16,256,445709.424684,2243.614213
true,124,10000000,10000000,16,256,280589.643359,3563.923415
false,126,10000000,10000000,16,256,471559.878210,2120.621465
true,126,10000000,10000000,16,256,219263.367082,4560.725366
false,128,10000000,10000000,16,256,489309.489836,2043.696312
true,128,10000000,10000000,16,256,263142.028180,3800.229127
false,14,10000000,10000000,16,256,84559.257471,11826.026267
true,14,10000000,10000000,16,256,78391.706658,12756.451449
false,16,10000000,10000000,16,256,95112.081951,10513.911372
true,16,10000000,10000000,16,256,90969.620459,10992.680798
false,18,10000000,10000000,16,256,91789.150308,10894.533794
true,18,10000000,10000000,16,256,92541.043412,10806.016046
false,2,10000000,10000000,16,256,18874.422319,52981.753991
true,2,10000000,10000000,16,256,18898.364205,52914.632671
false,20,10000000,10000000,16,256,118684.246553,8425.718063
true,20,10000000,10000000,16,256,98830.404844,10118.343657
false,22,10000000,10000000,16,256,109854.249805,9102.970543
true,22,10000000,10000000,16,256,105681.601075,9462.385030
false,24,10000000,10000000,16,256,127218.503486,7860.491773
true,24,10000000,10000000,16,256,112454.423025,8892.491492
false,26,10000000,10000000,16,256,141986.357732,7042.930152
true,26,10000000,10000000,16,256,121373.980791,8238.998124
false,28,10000000,10000000,16,256,156629.113805,6384.509085
true,28,10000000,10000000,16,256,126275.874300,7919.169085
false,30,10000000,10000000,16,256,162314.863592,6160.865234
true,30,10000000,10000000,16,256,138150.340400,7238.491032
false,32,10000000,10000000,16,256,166565.119525,6003.657926
true,32,10000000,10000000,16,256,147418.935353,6783.389105
false,34,10000000,10000000,16,256,172748.032281,5788.777949
true,34,10000000,10000000,16,256,149739.799110,6678.251246
false,36,10000000,10000000,16,256,176556.047235,5663.923811
true,36,10000000,10000000,16,256,156223.386575,6401.090272
false,38,10000000,10000000,16,256,193540.056151,5166.889066
true,38,10000000,10000000,16,256,161285.816499,6200.173219
false,4,10000000,10000000,16,256,34428.709856,29045.526369
true,4,10000000,10000000,16,256,33528.972271,29824.952340
false,40,10000000,10000000,16,256,197678.308334,5058.723987
true,40,10000000,10000000,16,256,178242.401641,5610.337332
false,42,10000000,10000000,16,256,211552.414469,4726.960940
true,42,10000000,10000000,16,256,180546.572774,5538.737095
false,44,10000000,10000000,16,256,219676.546818,4552.147302
true,44,10000000,10000000,16,256,189650.117778,5272.867804
false,46,10000000,10000000,16,256,231244.009124,4324.436355
true,46,10000000,10000000,16,256,199310.606218,5017.294458
false,48,10000000,10000000,16,256,240122.773581,4164.536271
true,48,10000000,10000000,16,256,203741.707597,4908.175218
false,50,10000000,10000000,16,256,243862.008488,4100.679750
true,50,10000000,10000000,16,256,212868.499672,4697.735933
false,52,10000000,10000000,16,256,253572.760272,3943.641261
true,52,10000000,10000000,16,256,218308.071511,4580.682671
false,54,10000000,10000000,16,256,270466.379997,3697.317205
true,54,10000000,10000000,16,256,220939.117063,4526.133775
false,56,10000000,10000000,16,256,272914.707072,3664.148447
true,56,10000000,10000000,16,256,233402.837540,4284.438058
false,58,10000000,10000000,16,256,285859.714198,3498.219407
true,58,10000000,10000000,16,256,227519.283239,4395.231849
false,6,10000000,10000000,16,256,41686.644876,23988.498066
true,6,10000000,10000000,16,256,39164.537817,25533.302720
false,60,10000000,10000000,16,256,292286.681455,3421.298552
true,60,10000000,10000000,16,256,232928.039076,4293.171419
false,62,10000000,10000000,16,256,301081.994474,3321.354376
true,62,10000000,10000000,16,256,197490.241502,5063.541329
false,64,10000000,10000000,16,256,298654.659574,3348.348897
true,64,10000000,10000000,16,256,212194.356650,4712.660675
false,66,10000000,10000000,16,256,314863.838744,3175.976015
true,66,10000000,10000000,16,256,248738.382996,4020.288256
false,68,10000000,10000000,16,256,317679.023705,3147.831381
true,68,10000000,10000000,16,256,247597.696031,4038.809795
false,70,10000000,10000000,16,256,319251.427691,3132.327417
true,70,10000000,10000000,16,256,257644.735535,3881.313538
false,72,10000000,10000000,16,256,336976.727418,2967.563985
true,72,10000000,10000000,16,256,264117.058912,3786.199968
false,74,10000000,10000000,16,256,352892.982831,2833.720274
true,74,10000000,10000000,16,256,267439.213022,3739.167449
false,76,10000000,10000000,16,256,352726.951607,2835.054127
true,76,10000000,10000000,16,256,268519.001513,3724.131232
false,78,10000000,10000000,16,256,344981.258906,2898.708188
true,78,10000000,10000000,16,256,281202.574229,3556.155212
false,8,10000000,10000000,16,256,51992.056322,19233.707430
true,8,10000000,10000000,16,256,51541.171610,19401.964852
false,80,10000000,10000000,16,256,378807.507976,2639.863200
true,80,10000000,10000000,16,256,266052.116848,3758.662069
false,82,10000000,10000000,16,256,377316.067326,2650.297951
true,82,10000000,10000000,16,256,254466.292941,3929.793563
false,84,10000000,10000000,16,256,386927.366768,2584.464388
true,84,10000000,10000000,16,256,273770.747060,3652.691205
false,86,10000000,10000000,16,256,393056.363200,2544.164384
true,86,10000000,10000000,16,256,276120.185391,3621.611360
false,88,10000000,10000000,16,256,409763.469191,2440.432286
true,88,10000000,10000000,16,256,245895.603172,4066.766494
false,90,10000000,10000000,16,256,402906.016096,2481.968400
true,90,10000000,10000000,16,256,273394.538578,3657.717543
false,92,10000000,10000000,16,256,415259.296263,2408.133927
true,92,10000000,10000000,16,256,240154.074089,4163.993485
false,94,10000000,10000000,16,256,408866.158785,2445.788135
true,94,10000000,10000000,16,256,272781.436651,3665.938607
false,96,10000000,10000000,16,256,350661.506897,2851.752988
true,96,10000000,10000000,16,256,236654.088398,4225.576692
false,98,10000000,10000000,16,256,444691.308045,2248.750947
true,98,10000000,10000000,16,256,223257.729027,4479.128245
