mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,12,10000000,10000000,16,256,126614.418952,7897.994622
true,12,10000000,10000000,16,256,149449.125832,6691.240209
false,16,10000000,10000000,16,256,126945.193495,7877.415225
true,16,10000000,10000000,16,256,165066.862673,6058.151126
false,1,10000000,10000000,16,256,18649.730660,53620.077322
true,1,10000000,10000000,16,256,20337.020399,49171.411563
false,20,10000000,10000000,16,256,106754.704834,9367.268652
true,20,10000000,10000000,16,256,175623.207956,5694.008279
false,24,10000000,10000000,16,256,130154.338201,7683.186084
true,24,10000000,10000000,16,256,186975.769343,5348.286591
false,4,10000000,10000000,16,256,68348.552736,14630.887707
true,4,10000000,10000000,16,256,49683.991032,20127.207562
false,8,10000000,10000000,16,256,125375.928060,7976.012744
true,8,10000000,10000000,16,256,98972.499849,10103.816732
