mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,10,10000000,10000000,16,256,149307.565593,6697.584252
true,10,10000000,10000000,16,256,130421.282244,7667.460270
false,12,10000000,10000000,16,256,154200.905675,6485.046217
true,12,10000000,10000000,16,256,158298.337592,6317.185734
false,14,10000000,10000000,16,256,152806.765606,6544.212856
true,14,10000000,10000000,16,256,138250.078078,7233.268971
false,16,10000000,10000000,16,256,171198.412403,5841.175663
true,16,10000000,10000000,16,256,141429.240581,7070.673617
false,18,10000000,10000000,16,256,169484.415375,5900.247511
true,18,10000000,10000000,16,256,147116.490916,6797.334505
false,1,10000000,10000000,16,256,20389.916633,49043.849370
true,1,10000000,10000000,16,256,12391.999546,80697.226969
false,20,10000000,10000000,16,256,207598.572006,4816.988818
true,20,10000000,10000000,16,256,156739.557631,6380.010350
false,22,10000000,10000000,16,256,199652.051004,5008.713885
true,22,10000000,10000000,16,256,182778.602086,5471.099946
false,24,10000000,10000000,16,256,203114.332688,4923.335477
true,24,10000000,10000000,16,256,207081.986119,4829.005259
false,26,10000000,10000000,16,256,194527.624289,5140.658062
true,26,10000000,10000000,16,256,201055.293681,4973.756133
false,28,10000000,10000000,16,256,183032.536282,5463.509496
true,28,10000000,10000000,16,256,206814.493988,4835.251054
false,2,10000000,10000000,16,256,39236.634496,25486.385691
true,2,10000000,10000000,16,256,36158.215434,27656.232145
false,30,10000000,10000000,16,256,170466.660776,5866.249714
true,30,10000000,10000000,16,256,204921.533235,4879.916640
false,32,10000000,10000000,16,256,171809.600180,5820.396526
true,32,10000000,10000000,16,256,210335.581434,4754.307346
false,34,10000000,10000000,16,256,168931.728406,5919.551108
true,34,10000000,10000000,16,256,209289.914482,4778.061105
false,36,10000000,10000000,16,256,171373.822511,5835.196912
true,36,10000000,10000000,16,256,214122.697412,4670.219515
false,38,10000000,10000000,16,256,171547.521996,5829.288516
true,38,10000000,10000000,16,256,214521.843446,4661.529959
false,40,10000000,10000000,16,256,174349.538445,5735.604516
true,40,10000000,10000000,16,256,221329.464149,4518.151272
false,42,10000000,10000000,16,256,176687.062739,5659.723946
true,42,10000000,10000000,16,256,226677.177789,4411.560130
false,44,10000000,10000000,16,256,181256.636492,5517.039372
true,44,10000000,10000000,16,256,228605.691752,4374.344280
false,46,10000000,10000000,16,256,183582.110064,5447.153863
true,46,10000000,10000000,16,256,234165.162427,4270.490066
false,48,10000000,10000000,16,256,185255.598589,5397.947526
true,48,10000000,10000000,16,256,241303.527944,4144.158225
false,4,10000000,10000000,16,256,66895.671389,14948.650327
true,4,10000000,10000000,16,256,67574.219806,14798.543037
false,6,10000000,10000000,16,256,113087.627893,8842.700290
true,6,10000000,10000000,16,256,80990.870693,12347.070620
false,8,10000000,10000000,16,256,126071.005675,7932.037939
true,8,10000000,10000000,16,256,99610.934786,10039.058484
