mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,12,50000000,50000000,16,256,135438.568843,7383.421196
true,12,50000000,50000000,16,256,126364.838950,7913.593752
false,1,50000000,50000000,16,256,19885.913561,50286.852396
true,1,50000000,50000000,16,256,19085.267526,52396.436080
false,4,50000000,50000000,16,256,64652.049571,15467.413742
true,4,50000000,50000000,16,256,45046.558290,22199.254237
false,8,50000000,50000000,16,256,153904.493129,6497.536100
true,8,50000000,50000000,16,256,82264.646535,12155.890071
