mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,1,10000000,10000000,16,256,9532.444782,104904.882518
true,1,10000000,10000000,16,256,9574.158802,104447.818413
false,100,10000000,10000000,16,256,359122.894651,2784.562095
true,100,10000000,10000000,16,256,229950.824396,4348.755881
false,104,10000000,10000000,16,256,357408.255481,2797.920822
true,104,10000000,10000000,16,256,223894.257657,4466.394138
false,108,10000000,10000000,16,256,361115.757019,2769.195142
true,108,10000000,10000000,16,256,239493.321759,4175.481774
false,112,10000000,10000000,16,256,345765.944893,2892.129820
true,112,10000000,10000000,16,256,242714.375781,4120.069101
false,116,10000000,10000000,16,256,369164.768027,2708.817543
true,116,10000000,10000000,16,256,245686.953601,4070.220194
false,12,10000000,10000000,16,256,70020.037494,14281.626172
true,12,10000000,10000000,16,256,69701.683943,14346.855677
false,120,10000000,10000000,16,256,342202.638410,2922.245149
true,120,10000000,10000000,16,256,243103.657724,4113.471633
false,124,10000000,10000000,16,256,341556.595470,2927.772478
true,124,10000000,10000000,16,256,230827.521887,4332.239032
false,128,10000000,10000000,16,256,346007.681928,2890.109244
true,128,10000000,10000000,16,256,233400.803091,4284.475403
false,16,10000000,10000000,16,256,90839.377256,11008.441826
true,16,10000000,10000000,16,256,85336.075196,11718.373475
false,20,10000000,10000000,16,256,101171.659295,9884.190958
true,20,10000000,10000000,16,256,95195.069666,10504.745713
false,24,10000000,10000000,16,256,123944.392079,8068.134292
true,24,10000000,10000000,16,256,111748.374720,8948.676010
false,28,10000000,10000000,16,256,141839.783782,7050.208153
true,28,10000000,10000000,16,256,117196.863659,8532.651547
false,32,10000000,10000000,16,256,174708.482228,5723.820545
true,32,10000000,10000000,16,256,136695.986671,7315.503727
false,36,10000000,10000000,16,256,211833.285302,4720.693439
true,36,10000000,10000000,16,256,149805.762389,6675.310643
false,4,10000000,10000000,16,256,34395.110251,29073.900118
true,4,10000000,10000000,16,256,30086.209843,33237.819095
false,40,10000000,10000000,16,256,226630.501166,4412.468732
true,40,10000000,10000000,16,256,163810.525099,6104.613848
false,44,10000000,10000000,16,256,248833.839824,4018.746006
true,44,10000000,10000000,16,256,178952.770915,5588.066588
false,48,10000000,10000000,16,256,249474.845005,4008.420167
true,48,10000000,10000000,16,256,197479.520236,5063.816232
false,52,10000000,10000000,16,256,261562.823051,3823.173295
true,52,10000000,10000000,16,256,200289.614187,4992.770115
false,56,10000000,10000000,16,256,264030.190816,3787.445659
true,56,10000000,10000000,16,256,209467.071848,4774.020046
false,60,10000000,10000000,16,256,284353.240902,3516.752603
true,60,10000000,10000000,16,256,210072.468546,4760.262051
false,64,10000000,10000000,16,256,288566.102986,3465.410489
true,64,10000000,10000000,16,256,180109.516331,5552.177477
false,68,10000000,10000000,16,256,305168.040423,3276.883119
true,68,10000000,10000000,16,256,206718.251263,4837.502223
false,72,10000000,10000000,16,256,325261.647414,3074.447934
true,72,10000000,10000000,16,256,204955.495476,4879.108012
false,76,10000000,10000000,16,256,330088.138140,3029.493897
true,76,10000000,10000000,16,256,224461.789598,4455.101253
false,8,10000000,10000000,16,256,50693.968831,19726.212468
true,8,10000000,10000000,16,256,49354.978544,20261.380503
false,80,10000000,10000000,16,256,338486.361468,2954.328782
true,80,10000000,10000000,16,256,222019.031663,4504.118374
false,84,10000000,10000000,16,256,350885.186012,2849.935078
true,84,10000000,10000000,16,256,228234.140705,4381.465441
false,88,10000000,10000000,16,256,363111.631269,2753.974023
true,88,10000000,10000000,16,256,225608.101635,4432.464937
false,92,10000000,10000000,16,256,345044.557732,2898.176417
true,92,10000000,10000000,16,256,215647.053255,4637.206885
false,96,10000000,10000000,16,256,359772.988769,2779.530513
true,96,10000000,10000000,16,256,206570.275348,4840.967551
