mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,1,10000000,10000000,16,256,9622.190349,103926.441246
true,1,10000000,10000000,16,256,9666.723548,103447.667147
false,10,10000000,10000000,16,256,61286.232011,16316.878476
true,10,10000000,10000000,16,256,57902.042486,17270.547930
false,12,10000000,10000000,16,256,74969.437188,13338.768937
true,12,10000000,10000000,16,256,70171.187377,14250.863316
false,14,10000000,10000000,16,256,83947.208597,11912.248385
true,14,10000000,10000000,16,256,79273.670866,12614.528747
false,16,10000000,10000000,16,256,95832.906474,10434.829087
true,16,10000000,10000000,16,256,92977.773765,10755.258590
false,18,10000000,10000000,16,256,99763.754350,10023.680509
true,18,10000000,10000000,16,256,93833.132469,10657.216419
false,2,10000000,10000000,16,256,19076.186610,52421.378572
true,2,10000000,10000000,16,256,18887.914244,52943.908316
false,20,10000000,10000000,16,256,112718.697227,8871.642634
true,20,10000000,10000000,16,256,97239.248143,10283.913328
false,22,10000000,10000000,16,256,119574.074663,8363.016840
true,22,10000000,10000000,16,256,107563.727844,9296.814270
false,24,10000000,10000000,16,256,122113.754614,8189.085686
true,24,10000000,10000000,16,256,111893.349943,8937.081609
false,26,10000000,10000000,16,256,132135.286367,7568.001156
true,26,10000000,10000000,16,256,118292.890765,8453.593395
false,28,10000000,10000000,16,256,143544.562780,6966.477731
true,28,10000000,10000000,16,256,125205.122228,7986.893685
false,30,10000000,10000000,16,256,156813.304296,6377.009939
true,30,10000000,10000000,16,256,136115.431127,7346.705599
false,32,10000000,10000000,16,256,162958.744331,6136.522493
true,32,10000000,10000000,16,256,138863.635989,7201.309348
false,34,10000000,10000000,16,256,170755.515718,5856.326197
true,34,10000000,10000000,16,256,150974.119692,6623.651802
false,36,10000000,10000000,16,256,171765.672009,5821.885062
true,36,10000000,10000000,16,256,140119.167779,7136.782325
false,38,10000000,10000000,16,256,181676.742325,5504.281876
true,38,10000000,10000000,16,256,140263.310092,7129.448174
false,4,10000000,10000000,16,256,35598.505629,28091.066811
true,4,10000000,10000000,16,256,25782.576487,38785.883192
false,40,10000000,10000000,16,256,181888.549574,5497.872199
true,40,10000000,10000000,16,256,139628.462468,7161.863579
false,42,10000000,10000000,16,256,163256.351665,6125.335950
true,42,10000000,10000000,16,256,140738.802228,7105.361025
false,44,10000000,10000000,16,256,176232.973716,5674.307021
true,44,10000000,10000000,16,256,147302.254379,6788.762359
false,46,10000000,10000000,16,256,153112.101524,6531.162397
true,46,10000000,10000000,16,256,143447.346884,6971.198992
false,48,10000000,10000000,16,256,159002.246034,6289.219335
true,48,10000000,10000000,16,256,157120.921007,6364.524811
false,50,10000000,10000000,16,256,161723.386035,6183.397618
true,50,10000000,10000000,16,256,127263.056746,7857.739910
false,52,10000000,10000000,16,256,151289.291553,6609.853148
true,52,10000000,10000000,16,256,148128.251906,6750.906644
false,54,10000000,10000000,16,256,110792.883371,9025.850484
true,54,10000000,10000000,16,256,115230.269444,8678.275290
false,56,10000000,10000000,16,256,142401.234533,7022.411030
true,56,10000000,10000000,16,256,137594.406312,7267.737307
false,58,10000000,10000000,16,256,144013.489203,6943.793984
true,58,10000000,10000000,16,256,146762.104674,6813.748019
false,6,10000000,10000000,16,256,41732.605998,23962.078957
true,6,10000000,10000000,16,256,39150.832205,25542.241216
false,60,10000000,10000000,16,256,140786.618511,7102.947784
true,60,10000000,10000000,16,256,137078.789860,7295.074614
false,62,10000000,10000000,16,256,124845.989884,8009.868807
true,62,10000000,10000000,16,256,126585.497778,7899.799089
false,64,10000000,10000000,16,256,127464.700271,7845.309312
true,64,10000000,10000000,16,256,127219.902285,7860.405346
false,66,10000000,10000000,16,256,97376.101410,10269.460222
true,66,10000000,10000000,16,256,131987.523032,7576.473723
false,68,10000000,10000000,16,256,99406.842388,10059.669696
true,68,10000000,10000000,16,256,122831.152985,8141.257130
false,70,10000000,10000000,16,256,93493.581715,10695.921385
true,70,10000000,10000000,16,256,129063.308710,7748.135469
false,72,10000000,10000000,16,256,138345.602700,7228.274556
true,72,10000000,10000000,16,256,127806.758380,7824.312366
false,74,10000000,10000000,16,256,139262.055448,7180.706882
true,74,10000000,10000000,16,256,106604.409693,9380.475000
false,76,10000000,10000000,16,256,135581.132618,7375.657517
true,76,10000000,10000000,16,256,123782.552222,8078.682997
false,78,10000000,10000000,16,256,104941.694371,9529.100954
true,78,10000000,10000000,16,256,128538.219278,7779.787254
false,8,10000000,10000000,16,256,51002.148575,19607.017115
true,8,10000000,10000000,16,256,51576.064856,19388.838656
false,80,10000000,10000000,16,256,142181.214355,7033.277951
true,80,10000000,10000000,16,256,127730.358974,7828.992324
