thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
1,10000000,10000000,16,1024,7006.386167,142726.931705
1,10000000,10000000,16,16,8274.915506,120847.155386
1,10000000,10000000,16,256,7544.803943,132541.548806
1,10000000,10000000,16,64,7858.482600,127251.029348
10,10000000,10000000,16,1024,63856.677840,15660.069296
10,10000000,10000000,16,16,62156.767419,16088.352749
10,10000000,10000000,16,256,62999.757742,15873.076911
10,10000000,10000000,16,64,61591.431921,16236.024538
15,10000000,10000000,16,1024,93110.420771,10739.936429
15,10000000,10000000,16,16,90612.527030,11036.001674
15,10000000,10000000,16,256,91523.079437,10926.205785
15,10000000,10000000,16,64,92664.853094,10791.578108
20,10000000,10000000,16,1024,118195.125148,8460.585822
20,10000000,10000000,16,16,120038.009724,8330.694605
20,10000000,10000000,16,256,122397.233440,8170.119307
20,10000000,10000000,16,64,122635.989921,8154.213136
25,10000000,10000000,16,1024,147051.706341,6800.329115
25,10000000,10000000,16,16,142467.308913,7019.154132
25,10000000,10000000,16,256,137948.201887,7249.097751
25,10000000,10000000,16,64,135647.748293,7372.035383
30,10000000,10000000,16,1024,136899.236992,7304.642611
30,10000000,10000000,16,16,155510.005880,6430.454390
30,10000000,10000000,16,256,154422.157834,6475.754607
30,10000000,10000000,16,64,156405.105425,6393.653182
5,10000000,10000000,16,1024,31578.879123,31666.735102
5,10000000,10000000,16,16,34060.289194,29359.703739
5,10000000,10000000,16,256,31066.207573,32189.316886
5,10000000,10000000,16,64,32978.722397,30322.581571
