mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,1,10000000,10000000,16,256,9726.815800,102808.567634
true,1,10000000,10000000,16,256,9594.796649,104223.157257
false,10,10000000,10000000,16,256,57696.267611,17332.143679
true,10,10000000,10000000,16,256,60519.280917,16523.659648
false,12,10000000,10000000,16,256,69673.029735,14352.756064
true,12,10000000,10000000,16,256,68565.309212,14584.634876
false,14,10000000,10000000,16,256,79653.201916,12554.423124
true,14,10000000,10000000,16,256,76229.644050,13118.256191
false,16,10000000,10000000,16,256,93924.614517,10646.836350
true,16,10000000,10000000,16,256,87324.645531,11451.520861
false,18,10000000,10000000,16,256,100922.584238,9908.584957
true,18,10000000,10000000,16,256,87829.061276,11385.753024
false,2,10000000,10000000,16,256,19035.537567,52533.320714
true,2,10000000,10000000,16,256,19060.011312,52465.866028
false,20,10000000,10000000,16,256,96201.335834,10394.866052
true,20,10000000,10000000,16,256,88639.408732,11281.663701
false,22,10000000,10000000,16,256,91400.029051,10940.915560
true,22,10000000,10000000,16,256,79728.528393,12542.561868
false,24,10000000,10000000,16,256,134295.873054,7446.245199
true,24,10000000,10000000,16,256,107838.546230,9273.122042
false,26,10000000,10000000,16,256,126523.046592,7903.698393
true,26,10000000,10000000,16,256,113212.744831,8832.927790
false,28,10000000,10000000,16,256,137429.656658,7276.449817
true,28,10000000,10000000,16,256,96757.950194,10335.068054
false,30,10000000,10000000,16,256,142415.885573,7021.688599
true,30,10000000,10000000,16,256,132990.727545,7519.321222
false,32,10000000,10000000,16,256,147970.854175,6758.087635
true,32,10000000,10000000,16,256,127713.137481,7830.048026
false,34,10000000,10000000,16,256,163279.622642,6124.462954
true,34,10000000,10000000,16,256,131052.916955,7630.505472
true,36,10000000,10000000,16,256,,
false,4,10000000,10000000,16,256,33704.324818,29669.782896
true,4,10000000,10000000,16,256,29687.378157,33684.348773
false,6,10000000,10000000,16,256,41362.361406,24176.569374
true,6,10000000,10000000,16,256,39835.429263,25103.281639
false,8,10000000,10000000,16,256,46389.806307,21556.459912
true,8,10000000,10000000,16,256,44036.092704,22708.645081
