mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,12,10000000,10000000,16,1024,152829.101565,6543.256420
false,12,50000000,50000000,16,1024,148522.619917,6732.981148
false,12,10000000,10000000,16,16,150948.286740,6624.785359
false,12,50000000,50000000,16,16,157198.671246,6361.376926
false,12,10000000,10000000,16,256,153455.234402,6516.558421
false,12,50000000,50000000,16,256,158051.775753,6327.040587
false,12,10000000,10000000,16,64,143640.495914,6961.825032
false,12,50000000,50000000,16,64,156185.369243,6402.648371
true,12,10000000,10000000,16,1024,147965.144789,6758.348403
true,12,50000000,50000000,16,1024,154501.273269,6472.438569
true,12,10000000,10000000,16,16,145247.669996,6884.792025
true,12,50000000,50000000,16,16,159293.679178,6277.712996
true,12,10000000,10000000,16,256,157692.150756,6341.469726
true,12,50000000,50000000,16,256,155666.277796,6423.998917
true,12,10000000,10000000,16,64,152934.085123,6538.764718
true,12,50000000,50000000,16,64,155607.452682,6426.427416
false,16,10000000,10000000,16,1024,168861.801997,5922.002420
false,16,50000000,50000000,16,1024,160714.656152,6222.207880
false,16,10000000,10000000,16,16,145165.150622,6888.705696
false,16,50000000,50000000,16,16,152792.421601,6544.827221
false,16,10000000,10000000,16,256,158136.609129,6323.646406
false,16,50000000,50000000,16,256,156939.930342,6371.864686
false,16,10000000,10000000,16,64,159669.012491,6262.956001
false,16,50000000,50000000,16,64,163514.547412,6115.663810
true,16,10000000,10000000,16,1024,140310.611803,7127.044684
true,16,50000000,50000000,16,1024,138708.590001,7209.358844
true,16,10000000,10000000,16,16,141238.213470,7080.236824
true,16,50000000,50000000,16,16,142386.733432,7023.126213
true,16,10000000,10000000,16,256,138225.068310,7234.577723
true,16,50000000,50000000,16,256,139102.509190,7188.942930
true,16,10000000,10000000,16,64,138825.192864,7203.303517
true,16,50000000,50000000,16,64,137983.330963,7247.252208
false,1,10000000,10000000,16,1024,16592.887942,60266.784389
false,1,50000000,50000000,16,1024,10972.207303,91139.364429
false,1,10000000,10000000,16,16,11662.338665,85746.095079
false,1,50000000,50000000,16,16,21120.723094,47346.863815
false,1,10000000,10000000,16,256,16993.300015,58846.721890
false,1,50000000,50000000,16,256,19031.792388,52543.658506
false,1,10000000,10000000,16,64,18494.435516,54070.317482
false,1,50000000,50000000,16,64,10468.910975,95520.919263
true,1,10000000,10000000,16,1024,18044.640788,55418.116202
true,1,50000000,50000000,16,1024,20362.034604,49111.005823
true,1,10000000,10000000,16,16,17191.590935,58167.973153
true,1,50000000,50000000,16,16,20033.353509,49916.755054
true,1,10000000,10000000,16,256,11054.771421,90458.677249
true,1,50000000,50000000,16,256,16337.335685,61209.490903
true,1,10000000,10000000,16,64,12082.557991,82763.931341
true,1,50000000,50000000,16,64,19365.703135,51637.680958
false,20,10000000,10000000,16,1024,207505.431681,4819.150959
false,20,50000000,50000000,16,1024,193196.498853,5176.077237
false,20,10000000,10000000,16,16,200025.514524,4999.362218
false,20,50000000,50000000,16,16,200970.152833,4975.863261
false,20,10000000,10000000,16,256,195815.347592,5106.852003
false,20,50000000,50000000,16,256,205641.596402,4862.829396
false,20,10000000,10000000,16,64,200636.492370,4984.138170
false,20,50000000,50000000,16,64,200521.438934,4986.997926
true,20,10000000,10000000,16,1024,153822.245469,6501.010286
true,20,50000000,50000000,16,1024,154996.424757,6451.761720
true,20,10000000,10000000,16,16,154073.019535,6490.429038
true,20,50000000,50000000,16,16,153180.692391,6528.237889
true,20,10000000,10000000,16,256,153550.802131,6512.502612
true,20,50000000,50000000,16,256,154697.095053,6464.245496
true,20,10000000,10000000,16,64,155241.008550,6441.596904
true,20,50000000,50000000,16,64,154411.396848,6476.205905
false,24,10000000,10000000,16,1024,203947.047717,4903.233517
false,24,50000000,50000000,16,1024,198857.727031,5028.720860
false,24,10000000,10000000,16,16,208324.000389,4800.215041
false,24,50000000,50000000,16,16,203837.289939,4905.873701
false,24,10000000,10000000,16,256,202873.532439,4929.179218
false,24,50000000,50000000,16,256,202632.360309,4935.045905
false,24,10000000,10000000,16,64,203549.761785,4912.803588
false,24,50000000,50000000,16,64,200596.732750,4985.126060
true,24,10000000,10000000,16,1024,203706.924992,4909.013280
true,24,50000000,50000000,16,1024,206570.436626,4840.963772
true,24,10000000,10000000,16,16,205376.029891,4869.117397
true,24,50000000,50000000,16,16,203088.734077,4923.956046
true,24,10000000,10000000,16,256,205274.822138,4871.518044
true,24,50000000,50000000,16,256,207132.425897,4827.829325
true,24,10000000,10000000,16,64,205200.603728,4873.280009
true,24,50000000,50000000,16,64,205100.175935,4875.666222
false,4,10000000,10000000,16,1024,58096.014188,17212.884808
false,4,50000000,50000000,16,1024,60517.577123,16524.124850
false,4,10000000,10000000,16,16,70377.754468,14209.035335
false,4,50000000,50000000,16,16,56901.888140,17574.109273
false,4,10000000,10000000,16,256,56005.860155,17855.274381
false,4,50000000,50000000,16,256,,
false,4,10000000,10000000,16,64,63801.863442,15673.523406
false,4,50000000,50000000,16,64,72483.468231,13796.249330
true,4,10000000,10000000,16,1024,43377.284336,23053.540933
true,4,50000000,50000000,16,1024,45453.067702,22000.715255
true,4,10000000,10000000,16,16,46155.464557,21665.906943
true,4,50000000,50000000,16,16,34674.946080,28839.266186
true,4,10000000,10000000,16,256,58659.370831,17047.574596
true,4,50000000,50000000,16,256,60884.547978,16424.528607
true,4,10000000,10000000,16,64,55680.178941,17959.712397
true,4,50000000,50000000,16,64,62990.546464,15875.398074
false,8,10000000,10000000,16,1024,120786.475714,8279.072587
false,8,50000000,50000000,16,1024,127332.167197,7853.475065
false,8,10000000,10000000,16,16,130268.071269,7676.478129
false,8,50000000,50000000,16,16,126860.512087,7882.673525
false,8,10000000,10000000,16,256,128326.819920,7792.603297
false,8,50000000,50000000,16,256,128822.397558,7762.625281
false,8,10000000,10000000,16,64,128607.845699,7775.575390
false,8,50000000,50000000,16,64,130831.900739,7643.395795
true,8,10000000,10000000,16,1024,118100.610758,8467.356719
true,8,50000000,50000000,16,1024,121559.668235,8226.412712
