mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,104,10000000,10000,16,256,332517.109791,3007.364044
true,104,10000000,10000,16,256,14559.982398,68681.401714
false,112,10000000,10000,16,256,358090.237287,2792.592190
true,112,10000000,10000,16,256,14977.135601,66768.441352
false,120,10000000,10000,16,256,346571.688078,2885.405919
true,120,10000000,10000,16,256,16206.538414,61703.491174
false,128,10000000,10000,16,256,383522.934950,2607.405995
true,128,10000000,10000,16,256,15783.458898,63357.468502
false,32,10000000,10000,16,256,71364.071041,14012.653502
true,32,10000000,10000,16,256,6061.426100,164977.677434
false,40,10000000,10000,16,256,100158.747749,9984.150386
true,40,10000000,10000,16,256,7602.516509,131535.393414
false,48,10000000,10000,16,256,128912.287094,7757.212462
true,48,10000000,10000,16,256,8178.459671,122272.413167
false,56,10000000,10000,16,256,154721.438594,6463.228426
true,56,10000000,10000,16,256,8723.906278,114627.549650
false,64,10000000,10000,16,256,183770.817739,5441.560376
true,64,10000000,10000,16,256,11097.655677,90109.121164
false,72,10000000,10000,16,256,215121.346569,4648.539143
true,72,10000000,10000,16,256,11956.442330,83636.919109
false,80,10000000,10000,16,256,252097.992391,3966.711478
true,80,10000000,10000,16,256,12099.153024,82650.413467
false,88,10000000,10000,16,256,283459.434494,3527.841653
true,88,10000000,10000,16,256,13915.812776,71860.696612
false,96,10000000,10000,16,256,309164.271083,3234.526411
true,96,10000000,10000,16,256,13917.344500,71852.787719
