mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,1,10000000,10000000,16,1024,9610.290927,104055.122529
false,1,10000000,10000000,16,256,9566.946215,104526.562351
true,1,10000000,10000000,16,1024,9619.974183,103950.382915
true,1,10000000,10000000,16,256,9724.028794,102838.033617
false,12,10000000,10000000,16,1024,70752.297456,14133.816653
false,12,10000000,10000000,16,256,70404.700423,14203.597118
true,12,10000000,10000000,16,1024,73228.921149,13655.806808
true,12,10000000,10000000,16,256,66364.719283,15068.247268
false,16,10000000,10000000,16,1024,91916.563349,10879.431993
false,16,10000000,10000000,16,256,90265.652297,11078.411052
true,16,10000000,10000000,16,1024,88060.677281,11355.806370
true,16,10000000,10000000,16,256,87845.442526,11383.629830
false,20,10000000,10000000,16,1024,106115.983296,9423.651074
false,20,10000000,10000000,16,256,90967.644681,10992.919554
true,20,10000000,10000000,16,1024,94918.975214,10535.301269
true,20,10000000,10000000,16,256,92678.695061,10789.966339
false,24,10000000,10000000,16,1024,123232.740542,8114.726619
false,24,10000000,10000000,16,256,126306.400462,7917.255154
true,24,10000000,10000000,16,1024,108551.171430,9212.245127
true,24,10000000,10000000,16,256,112014.674087,8927.401773
false,4,10000000,10000000,16,1024,36108.771099,27694.102280
false,4,10000000,10000000,16,256,36287.374283,27557.794405
true,4,10000000,10000000,16,1024,32153.480059,31100.832575
true,4,10000000,10000000,16,256,26763.213331,37364.721030
false,8,10000000,10000000,16,1024,50772.589276,19695.666781
false,8,10000000,10000000,16,256,50203.862334,19918.786195
true,8,10000000,10000000,16,1024,50223.302167,19911.076271
true,8,10000000,10000000,16,256,45251.026092,22098.946397
