mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,12,10000000,10000000,16,256,148340.530892,6741.245929
true,12,10000000,10000000,16,256,155995.291871,6410.449880
false,16,10000000,10000000,16,256,129741.834277,7707.614168
true,16,10000000,10000000,16,256,155188.216117,6443.788227
false,1,10000000,10000000,16,256,21124.456642,47338.495703
true,1,10000000,10000000,16,256,16162.885534,61870.140569
false,20,10000000,10000000,16,256,130806.669168,7644.870146
true,20,10000000,10000000,16,256,176148.991930,5677.012335
false,24,10000000,10000000,16,256,142092.512620,7037.668499
true,24,10000000,10000000,16,256,203411.404091,4916.145211
false,4,10000000,10000000,16,256,67892.447785,14729.178762
true,4,10000000,10000000,16,256,40637.818848,24607.619905
false,8,10000000,10000000,16,256,112485.723364,8890.017063
true,8,10000000,10000000,16,256,95995.291385,10417.177609
